"Quarter",GDP
"1989 Q1","0.5"
"1989 Q2","0.6"
"1989 Q3",0.2
"1989 Q4","0.0"
"1990 Q1","0.5"
"1990 Q2","0.7"
"1990 Q3","-1.1"
"1990 Q4","-0.5"
"1991 Q1","-0.5"
"1991 Q2","-0.1"
"1991 Q3","-0.2"
"1991 Q4","0.1"
"1992 Q1","0.0"
"1992 Q2","-0.2"
"1992 Q3","0.5"
"1992 Q4","0.8"
"1993 Q1","0.5"
"1993 Q2","0.4"
"1993 Q3","0.9"
"1993 Q4","0.7"
"1994 Q1","1.0"
"1994 Q2","0.9"
"1994 Q3","1.0"
"1994 Q4","0.4"
"1995 Q1","0.5"
"1995 Q2","0.2"
"1995 Q3","1.1"
"1995 Q4","0.3"
"1996 Q1","0.7"
"1996 Q2","0.3"
"1996 Q3","0.9"
"1996 Q4","1.4"
"1997 Q1","1.6"
"1997 Q2","1.1"
"1997 Q3","0.9"
"1997 Q4","1.5"
"1998 Q1","0.7"
"1998 Q2","0.6"
"1998 Q3","0.3"
"1998 Q4","0.7"
"1999 Q1","0.7"
"1999 Q2","0.5"
"1999 Q3","1.6"
"1999 Q4","1.4"
"2000 Q1","1.2"
"2000 Q2","0.7"
"2000 Q3","0.6"
"2000 Q4","0.6"
"2001 Q1","0.9"
"2001 Q2","0.4"
"2001 Q3","0.5"
"2001 Q4","0.3"
"2002 Q1","0.3"
"2002 Q2","0.5"
"2002 Q3","0.7"
"2002 Q4","0.8"
"2003 Q1","0.7"
"2003 Q2","0.9"
"2003 Q3","0.9"
"2003 Q4","0.8"
"2004 Q1","0.4"
"2004 Q2","0.6"
"2004 Q3","0.4"
"2004 Q4","0.5"
"2005 Q1","0.7"
"2005 Q2","0.8"
"2005 Q3","0.8"
"2005 Q4","0.9"
"2006 Q1","0.5"
"2006 Q2","0.4"
"2006 Q3","0.3"
"2006 Q4","0.5"
"2007 Q1","0.9"
"2007 Q2","0.7"
"2007 Q3","0.7"
"2007 Q4","0.6"
"2008 Q1","0.5"
"2008 Q2","-0.5"
"2008 Q3","-1.5"
"2008 Q4","-2.1"
"2009 Q1","-2.0"
"2009 Q2","-0.3"
"2009 Q3","0.1"
"2009 Q4","0.3"
"2010 Q1","0.9"
"2010 Q2","1.1"
"2010 Q3","0.6"
"2010 Q4","0.1"
"2011 Q1","0.3"
"2011 Q2","0.1"
"2011 Q3","0.3"
"2011 Q4","0.1"
"2012 Q1","0.9"
"2012 Q2","-0.1"
"2012 Q3","1.0"
"2012 Q4","-0.1"
"2013 Q1","0.3"
"2013 Q2","0.7"
"2013 Q3","0.8"
"2013 Q4","0.7"
"2014 Q1","0.8"
"2014 Q2","0.9"
"2014 Q3","0.8"
"2014 Q4","0.7"
"2015 Q1","0.3"
"2015 Q2","0.6"
"2015 Q3","0.4"
"2015 Q4","0.6"
"2016 Q1","0.4"
"2016 Q2","0.6"
"2016 Q3","0.4"
"2016 Q4","0.6"
"2017 Q1","0.8"
"2017 Q2","0.6"
"2017 Q3","0.6"
"2017 Q4","0.7"
"2018 Q1","0.1"
"2018 Q2","0.2"
"2018 Q3","0.3"
"2018 Q4","0.1"
"2019 Q1","0.7"
"2019 Q2","0.3"
"2019 Q3","0.7"
"2019 Q4","0.0"
"2020 Q1","-2.7"
"2020 Q2","-20.3"
"2020 Q3","16.8"
"2020 Q4","1.4"
"2021 Q1","-1.0"
"2021 Q2","7.3"
"2021 Q3","1.7"
"2021 Q4","1.5"
"2022 Q1","0.7"
"2022 Q2","0.3"
"2022 Q3","0.1"
"2022 Q4","0.3"
"2023 Q1","0.1"
"2023 Q2","0.0"
"2023 Q3","-0.1"
"2023 Q4","-0.2"
"2024 Q1","0.9"
"2024 Q2","0.5"
"2024 Q3","0.0"
"2024 Q4","0.1"
