DATE,CPIAUCSL
2000-03-31,170.1
2000-06-30,171.4333333333333
2000-09-30,173.0
2000-12-31,174.23333333333335
2001-03-31,175.9
2001-06-30,177.13333333333333
2001-09-30,177.63333333333333
2001-12-31,177.5
2002-03-31,178.0666666666667
2002-06-30,179.46666666666667
2002-09-30,180.4333333333333
2002-12-31,181.5
2003-03-31,183.36666666666667
2003-06-30,183.0666666666667
2003-09-30,184.4333333333333
2003-12-31,185.13333333333333
2004-03-31,186.70000000000002
2004-06-30,188.16666666666666
2004-09-30,189.36666666666667
2004-12-31,191.4
2005-03-31,192.36666666666667
2005-06-30,193.66666666666666
2005-09-30,196.6
2005-12-31,198.4333333333333
2006-03-31,199.46666666666667
2006-06-30,201.26666666666665
2006-09-30,203.16666666666666
2006-12-31,202.33333333333334
2007-03-31,204.317
2007-06-30,206.631
2007-09-30,207.939
2007-12-31,210.4896666666667
2008-03-31,212.76966666666667
2008-06-30,215.5376666666667
2008-09-30,218.861
2008-12-31,213.84866666666667
2009-03-31,212.37766666666667
2009-06-30,213.50699999999998
2009-09-30,215.34399999999997
2009-12-31,217.03
2010-03-31,217.37400000000002
2010-06-30,217.29733333333334
2010-09-30,217.93433333333334
2010-12-31,219.69899999999998
2011-03-31,222.04366666666667
2011-06-30,224.56833333333336
2011-09-30,226.03266666666664
2011-12-31,227.04733333333334
2012-03-31,228.32600000000002
2012-06-30,228.808
2012-09-30,229.841
2012-12-31,231.36933333333332
2013-03-31,232.29933333333335
2013-06-30,232.045
2013-09-30,233.29999999999998
2013-12-31,234.1626666666667
2014-03-31,235.621
2014-06-30,236.87233333333333
2014-09-30,237.47833333333332
2014-12-31,236.88833333333332
2015-03-31,235.35500000000002
2015-06-30,236.96
2015-09-30,237.855
2015-12-31,237.837
2016-03-31,237.68933333333334
2016-06-30,239.59033333333332
2016-09-30,240.60733333333334
2016-12-31,242.13466666666667
2017-03-31,243.83866666666665
2017-06-30,244.12
2017-09-30,245.287
2017-12-31,247.23833333333334
2018-03-31,249.3216666666667
2018-06-30,250.679
2018-09-30,251.68633333333332
2018-12-31,252.711
2019-03-31,253.38566666666665
2019-06-30,255.24733333333333
2019-09-30,256.08933333333334
2019-12-31,257.888
2020-03-31,258.81766666666664
2020-06-30,256.292
2020-09-30,259.22166666666664
2020-12-31,261.0916666666667
2021-03-31,263.6863333333333
2021-06-30,268.5796666666667
2021-09-30,272.8863333333333
2021-12-31,278.71933333333334
2022-03-31,284.8446666666666
2022-06-30,291.651
2022-09-30,295.50766666666664
2022-12-31,298.49833333333333
2023-03-31,301.19166666666666
2023-06-30,303.4243333333333
2023-09-30,306.0423333333333
2023-12-31,308.15833333333336
2024-03-31,309.794
